cc_num,amt,gender,category,is_fraud
213199865312311,49.32,M,gas_transport,0
4474324669797121,144.14,M,grocery_pos,0
6011860238257910,63.24,F,gas_transport,0
180048185037117,129.18,F,misc_pos,0
4584931703207308232,48.83,F,home,0
4512828414983801773,115.44,F,misc_net,0
30238755902988,8.67,F,home,0
213161869125933,125.3,F,entertainment,0
581293083266,38.22,M,misc_pos,0
6011679934075347,8.64,F,shopping_pos,0
2358122155477959,73.6,M,kids_pets,0
3540210836308425,73.68,M,personal_care,0
6538441737335434,16.49,F,shopping_net,0
4826655832045236,4.44,F,kids_pets,0
3598215285024754,108.54,F,entertainment,0
4874017206859125,54.47,F,home,0
567868110212,227.56,F,shopping_pos,0
346273234529002,143.78,F,misc_pos,0
4859525594182537,55.16,F,entertainment,0
4769426683924058915,9.13,F,travel,0
376012912828093,5.39,M,shopping_pos,0
375534208663984,75.68,M,personal_care,0
4806443445305,16.94,M,grocery_net,0
4379260813815979609,61.3,M,grocery_pos,0
374497717543058,3.06,F,travel,0
4003771737807706,9.57,F,misc_pos,0
3577578023716568,55.32,F,grocery_net,0
3529597810116815,12.52,F,entertainment,0
3564839259330465,34.45,M,grocery_net,0
3529597810116815,41.16,F,gas_transport,0
6011552879910390,69.84,M,gas_transport,0
3568255211412877,41.81,M,grocery_pos,0
379141394109214,85.31,M,shopping_pos,0
4089096483689733451,75.92,F,gas_transport,0
4155021259183870,7.63,F,shopping_net,0
2260801330657968,46.01,F,food_dining,0
4446368897795790,102.72,M,shopping_net,0
3573030041201292,46.79,F,gas_transport,0
2260801330657968,86.3,F,misc_pos,0
3560797065840735,2.65,F,health_fitness,0
6011652924285713,109.19,F,grocery_pos,0
38580485618059,21.45,F,home,0
502038091380,73.16,M,health_fitness,0
344342339068828,5.88,F,misc_pos,0
3591919803438423,26.65,M,entertainment,0
30371006069917,10.92,M,health_fitness,0
4452366298769043,2.09,F,misc_pos,0
4477156602511939689,38.51,F,kids_pets,0
3518234918950662,59.07,F,gas_transport,0
3529597930342630,14.15,F,food_dining,0
3518669219150142,38.63,F,gas_transport,0
347073228412010,60.15,M,grocery_net,0
4476840372112,47.11,M,gas_transport,0
4992346398065154184,111.99,M,grocery_pos,0
3502377050801561,10.08,F,shopping_pos,0
4988304376504,115.5,M,grocery_pos,0
344709867813900,235.29,F,grocery_pos,0
3547560454237873,73.37,M,gas_transport,0
5388659976630693,73.62,M,gas_transport,0
4469777115158234880,54.54,M,grocery_pos,0
4861310130652566408,11.27,F,misc_pos,0
2252055259910912,38.79,M,misc_pos,0
6597248210463122,67.34,M,home,0
30235268718158,4.39,M,kids_pets,0
6011724471098086,33.14,F,grocery_net,0
4707867759656333,103.11,F,grocery_pos,0
4809701904914,2.83,F,shopping_pos,0
4311368326621416041,5.49,M,travel,0
2254799658404120,50.89,F,entertainment,0
3529597810116815,92.76,F,health_fitness,0
345389171551808,12.95,M,personal_care,0
4658117080136,59.13,M,food_dining,0
3501942333500073,204.96,F,kids_pets,0
3589289942931264,45.67,F,health_fitness,0
4683520018489354,113.75,M,entertainment,0
377234009633447,1.04,F,shopping_pos,0
676369110710,14.79,M,health_fitness,0
5456712664803820,6.49,F,misc_net,0
4958589671582726883,55.78,M,home,0
2712209726293386,17.67,F,home,0
36721445180895,54.31,M,home,0
3596217206093829,38.29,F,entertainment,0
4063094974360571498,20.24,F,entertainment,0
30234966027947,6.05,M,shopping_pos,0
377264520876399,113.66,F,entertainment,0
630412733309,7.73,F,misc_pos,0
4623560839669,55.39,M,gas_transport,0
4605902936394,139.4,M,home,0
4319584480204988982,167.35,F,grocery_pos,0
4908846471916297,9.29,F,home,0
4451952084362894,80.69,M,entertainment,0
4260128500325,291.94,F,shopping_net,0
4424338559877976,158.36,F,grocery_pos,0
